3
60000
0.694945 0.601604 0.393858
0.639662 0.575793 0.509209
0.672211 0.332603 0.661444
0.630579 0.581666 0.513843
0.481664 0.611265 0.627977
0.574873 0.620740 0.533107
0.652272 0.527466 0.544353
0.634475 0.623695 0.456558
0.670742 0.580324 0.461876
0.628775 0.491748 0.602351
0.633008 0.628831 0.451523
0.580427 0.544508 0.605488
0.597311 0.318311 0.736137
0.485870 0.724844 0.488397
0.457678 0.642032 0.615082
0.429811 0.572973 0.697828
0.524279 0.732223 0.434719
0.476374 0.734407 0.483441
0.492073 0.645108 0.584551
0.497348 0.608684 0.618182
0.460800 0.678517 0.572083
0.485506 0.605959 0.630157
0.444283 0.665767 0.599472
0.647876 0.571722 0.503379
0.445020 0.656179 0.609415
0.642525 0.631682 0.433750
0.577338 0.678394 0.454382
0.720318 0.435874 0.539588
0.610397 0.588671 0.529983
0.436934 0.606110 0.664620
0.512626 0.663486 0.544978
0.646217 0.631791 0.428070
0.662457 0.495735 0.561603
0.534585 0.734022 0.418844
0.618761 0.559632 0.551313
0.384948 0.753024 0.533638
0.609717 0.689978 0.390096
0.652264 0.527077 0.544740
0.600234 0.649133 0.467275
0.582049 0.582480 0.567394
0.385325 0.660315 0.644600
0.594535 0.597599 0.537963
0.689543 0.432688 0.580786
0.605624 0.667541 0.433139
0.574903 0.450958 0.682732
0.464122 0.659841 0.590932
0.394866 0.721040 0.569370
0.542510 0.672044 0.504024
0.481557 0.562045 0.672465
0.497998 0.653734 0.569764
0.323127 0.685594 0.652341
0.628154 0.548993 0.551388
0.388802 0.564768 0.727922
0.496444 0.610650 0.616968
0.489283 0.684497 0.540432
0.637560 0.457025 0.620198
0.410118 0.683913 0.603379
0.645746 0.539970 0.539856
0.485307 0.667076 0.565232
0.692551 0.606370 0.390754
0.304037 0.451065 0.839108
0.554482 0.535880 0.636697
0.739264 0.447969 0.502805
0.618139 0.564702 0.546823
0.604549 0.759718 0.239476
0.640050 0.414126 0.647175
0.735074 0.593759 0.327288
0.515728 0.641560 0.567826
0.619052 0.440691 0.650051
0.763750 0.485947 0.424902
0.679027 0.604437 0.416627
0.394042 0.567213 0.723188
0.598256 0.536360 0.595321
0.668889 0.534156 0.516976
0.644483 0.592518 0.483285
0.678539 0.656363 0.329805
